col:taxonID	col:gazetteer	col:area
urn:lsid:nmbe.ch:spidersp:016640	text	Colombia, French Guiana, Peru, Brazil
urn:lsid:nmbe.ch:spidersp:040020	text	China
urn:lsid:nmbe.ch:spidersp:017952	text	Madeira
urn:lsid:nmbe.ch:spidersp:021533	text	New Zealand
urn:lsid:nmbe.ch:spidersp:029103	text	Australia (Queensland, New South Wales)
urn:lsid:nmbe.ch:spidersp:002253	text	Myanmar
urn:lsid:nmbe.ch:spidersp:005596	text	Morocco, Algeria
urn:lsid:nmbe.ch:spidersp:048410	text	Brazil
urn:lsid:nmbe.ch:spidersp:035120	text	Borneo
urn:lsid:nmbe.ch:spidersp:021026	text	New Zealand
urn:lsid:nmbe.ch:spidersp:016355	text	China
urn:lsid:nmbe.ch:spidersp:040535	text	Australia (Queensland)
urn:lsid:nmbe.ch:spidersp:011490	text	Europe, Russia (Europe to South Siberia)
urn:lsid:nmbe.ch:spidersp:014368	text	Hawaii
urn:lsid:nmbe.ch:spidersp:042508	text	New Zealand
urn:lsid:nmbe.ch:spidersp:037408	text	Australia
urn:lsid:nmbe.ch:spidersp:048105	text	India
urn:lsid:nmbe.ch:spidersp:035435	text	USA to Costa Rica
urn:lsid:nmbe.ch:spidersp:005083	text	Pacific Is.
urn:lsid:nmbe.ch:spidersp:029416	text	New Guinea
urn:lsid:nmbe.ch:spidersp:002746	text	Mexico
urn:lsid:nmbe.ch:spidersp:000281	text	Brazil
urn:lsid:nmbe.ch:spidersp:031925	text	Spain, France, Italy
urn:lsid:nmbe.ch:spidersp:005579	text	Brazil
urn:lsid:nmbe.ch:spidersp:053319	text	Brazil
urn:lsid:nmbe.ch:spidersp:007544	text	Morocco, Algeria
urn:lsid:nmbe.ch:spidersp:051324	text	Greece (Rhodes), Israel?
urn:lsid:nmbe.ch:spidersp:033918	text	Brazil
urn:lsid:nmbe.ch:spidersp:030637	text	USA, Canada
urn:lsid:nmbe.ch:spidersp:038207	text	Borneo
urn:lsid:nmbe.ch:spidersp:013157	text	Colombia
urn:lsid:nmbe.ch:spidersp:045737	text	Venezuela
urn:lsid:nmbe.ch:spidersp:014692	text	Portugal
urn:lsid:nmbe.ch:spidersp:024224	text	Ivory Coast
urn:lsid:nmbe.ch:spidersp:015980	text	Brazil, Argentina
urn:lsid:nmbe.ch:spidersp:046818	text	South Africa
urn:lsid:nmbe.ch:spidersp:044825	text	Thailand, China
urn:lsid:nmbe.ch:spidersp:026219	text	Australia (Queensland)
urn:lsid:nmbe.ch:spidersp:040165	text	Hispaniola
urn:lsid:nmbe.ch:spidersp:016705	text	Bhutan, India, Pakistan
urn:lsid:nmbe.ch:spidersp:009809	text	USA
urn:lsid:nmbe.ch:spidersp:042158	text	China
urn:lsid:nmbe.ch:spidersp:021476	text	Australia (Tasmania)
urn:lsid:nmbe.ch:spidersp:017817	text	USA
urn:lsid:nmbe.ch:spidersp:002316	text	Cuba
urn:lsid:nmbe.ch:spidersp:029046	text	Australia (Western Australia, South Australia)
urn:lsid:nmbe.ch:spidersp:037058	text	Madagascar
urn:lsid:nmbe.ch:spidersp:035065	text	New Guinea
urn:lsid:nmbe.ch:spidersp:048555	text	China
urn:lsid:nmbe.ch:spidersp:050866	text	Vietnam
urn:lsid:nmbe.ch:spidersp:030267	text	Australia (Northern Territory)
urn:lsid:nmbe.ch:spidersp:053749	text	Greece
urn:lsid:nmbe.ch:spidersp:005129	text	China, Taiwan
urn:lsid:nmbe.ch:spidersp:051774	text	Ivory Coast
urn:lsid:nmbe.ch:spidersp:007114	text	St. Vincent, Mexico to Brazil
urn:lsid:nmbe.ch:spidersp:039945	text	USA (Alaska), Canada
urn:lsid:nmbe.ch:spidersp:026649	text	South Africa
urn:lsid:nmbe.ch:spidersp:045367	text	Indonesia (Sumatra)
urn:lsid:nmbe.ch:spidersp:013507	text	Costa Rica
urn:lsid:nmbe.ch:spidersp:038657	text	Russia (South Siberia)
urn:lsid:nmbe.ch:spidersp:025966	text	Philippines
urn:lsid:nmbe.ch:spidersp:010281	text	Italy
urn:lsid:nmbe.ch:spidersp:021925	text	Malawi
urn:lsid:nmbe.ch:spidersp:043319	text	China
urn:lsid:nmbe.ch:spidersp:015579	text	India to Philippines, New Guinea
urn:lsid:nmbe.ch:spidersp:041324	text	China
urn:lsid:nmbe.ch:spidersp:017544	text	China
urn:lsid:nmbe.ch:spidersp:023918	text	Chile, Argentina
urn:lsid:nmbe.ch:spidersp:034224	text	Australia (New South Wales)
urn:lsid:nmbe.ch:spidersp:005980	text	Chad
urn:lsid:nmbe.ch:spidersp:049714	text	Israel, Iran
urn:lsid:nmbe.ch:spidersp:036219	text	Southern Europe, Ukraine, Russia (Caucasus)
urn:lsid:nmbe.ch:spidersp:003157	text	Sri Lanka
urn:lsid:nmbe.ch:spidersp:028207	text	Botswana, Zimbabwe, South Africa
urn:lsid:nmbe.ch:spidersp:048806	text	Brazil
urn:lsid:nmbe.ch:spidersp:004692	text	France (Corsica)
urn:lsid:nmbe.ch:spidersp:050535	text	China
urn:lsid:nmbe.ch:spidersp:006355	text	Argentina
urn:lsid:nmbe.ch:spidersp:001490	text	New Guinea
urn:lsid:nmbe.ch:spidersp:052508	text	Colombia
urn:lsid:nmbe.ch:spidersp:004368	text	Greece
urn:lsid:nmbe.ch:spidersp:031026	text	Indonesia (Sumatra)
urn:lsid:nmbe.ch:spidersp:015083	text	China (Yarkand)
urn:lsid:nmbe.ch:spidersp:044126	text	Canary Is.
urn:lsid:nmbe.ch:spidersp:012746	text	USA
urn:lsid:nmbe.ch:spidersp:039416	text	Colombia, Venezuela, Brazil, Guyana, Ecuador
urn:lsid:nmbe.ch:spidersp:013854	text	Cuba
urn:lsid:nmbe.ch:spidersp:027408	text	North America
urn:lsid:nmbe.ch:spidersp:025435	text	Guinea-Bissau
urn:lsid:nmbe.ch:spidersp:011869	text	Tyrol
urn:lsid:nmbe.ch:spidersp:015129	text	Australia (New South Wales)
urn:lsid:nmbe.ch:spidersp:043749	text	Vietnam
urn:lsid:nmbe.ch:spidersp:017114	text	Brazil
urn:lsid:nmbe.ch:spidersp:041774	text	Madagascar
urn:lsid:nmbe.ch:spidersp:040866	text	China
urn:lsid:nmbe.ch:spidersp:020267	text	Peru
urn:lsid:nmbe.ch:spidersp:028657	text	Colombia, Venezuela, Trinidad, Brazil
urn:lsid:nmbe.ch:spidersp:003507	text	Ecuador (Galapagos Is.)
urn:lsid:nmbe.ch:spidersp:035966	text	Brazil
urn:lsid:nmbe.ch:spidersp:049344	text	Brazil
urn:lsid:nmbe.ch:spidersp:034674	text	Japan
urn:lsid:nmbe.ch:spidersp:029945	text	Somalia
urn:lsid:nmbe.ch:spidersp:036649	text	New Zealand
urn:lsid:nmbe.ch:spidersp:031476	text	Italy
urn:lsid:nmbe.ch:spidersp:007817	text	Madagascar, Comoros, Seychelles (Aldabra)
urn:lsid:nmbe.ch:spidersp:006705	text	Romania
urn:lsid:nmbe.ch:spidersp:050165	text	Brazil
urn:lsid:nmbe.ch:spidersp:019809	text	Honduras to Brazil
urn:lsid:nmbe.ch:spidersp:004738	text	Greece
urn:lsid:nmbe.ch:spidersp:052158	text	Australia (Victoria)
urn:lsid:nmbe.ch:spidersp:027058	text	USA
urn:lsid:nmbe.ch:spidersp:025065	text	El Salvador
urn:lsid:nmbe.ch:spidersp:039046	text	Iran
urn:lsid:nmbe.ch:spidersp:012316	text	Uganda
urn:lsid:nmbe.ch:spidersp:044576	text	USA
urn:lsid:nmbe.ch:spidersp:000002	text	Japan (Ryukyu Is.)
urn:lsid:nmbe.ch:spidersp:032489	text	Brazil, Paraguay
urn:lsid:nmbe.ch:spidersp:037371	text	Russia (Siberia)
urn:lsid:nmbe.ch:spidersp:022870	text	France
urn:lsid:nmbe.ch:spidersp:038084	text	Angola
urn:lsid:nmbe.ch:spidersp:047589	text	Brazil
urn:lsid:nmbe.ch:spidersp:014411	text	Brazil, Argentina
urn:lsid:nmbe.ch:spidersp:042271	text	India
urn:lsid:nmbe.ch:spidersp:008432	text	Philippines
urn:lsid:nmbe.ch:spidersp:023762	text	Brazil
urn:lsid:nmbe.ch:spidersp:043899	text	Ecuador
urn:lsid:nmbe.ch:spidersp:010901	text	Kenya
urn:lsid:nmbe.ch:spidersp:023298	text	Ethiopia, Congo
urn:lsid:nmbe.ch:spidersp:026560	text	Canary Is.
urn:lsid:nmbe.ch:spidersp:011613	text	Colombia
urn:lsid:nmbe.ch:spidersp:047073	text	Laos
urn:lsid:nmbe.ch:spidersp:019223	text	USA
urn:lsid:nmbe.ch:spidersp:028987	text	India
urn:lsid:nmbe.ch:spidersp:032173	text	Lebanon
urn:lsid:nmbe.ch:spidersp:048386	text	Singapore, Indonesia (Gaya Is.)
urn:lsid:nmbe.ch:spidersp:005200	text	São Tomé and Príncipe
urn:lsid:nmbe.ch:spidersp:053460	text	Australia (Capital Territory)
urn:lsid:nmbe.ch:spidersp:036999	text	Australia (New South Wales)
urn:lsid:nmbe.ch:spidersp:029695	text	Venezuela
urn:lsid:nmbe.ch:spidersp:019389	text	Mexico
urn:lsid:nmbe.ch:spidersp:037721	text	Australia (Queensland, New South Wales)
urn:lsid:nmbe.ch:spidersp:000452	text	South Africa
urn:lsid:nmbe.ch:spidersp:036833	text	Bhutan, China
urn:lsid:nmbe.ch:spidersp:007397	text	China
urn:lsid:nmbe.ch:spidersp:043933	text	Zimbabwe
urn:lsid:nmbe.ch:spidersp:012896	text	Canary Is., Madeira
urn:lsid:nmbe.ch:spidersp:023332	text	Sri Lanka
urn:lsid:nmbe.ch:spidersp:008062	text	Portugal, Spain, France (incl. Corsica)
urn:lsid:nmbe.ch:spidersp:013784	text	India
urn:lsid:nmbe.ch:spidersp:042621	text	Japan
urn:lsid:nmbe.ch:spidersp:014041	text	Philippines
urn:lsid:nmbe.ch:spidersp:016586	text	Colombia
urn:lsid:nmbe.ch:spidersp:047423	text	Guatemala
urn:lsid:nmbe.ch:spidersp:011243	text	Cyprus
urn:lsid:nmbe.ch:spidersp:026130	text	Tajikistan
urn:lsid:nmbe.ch:spidersp:053030	text	Myanmar
urn:lsid:nmbe.ch:spidersp:005650	text	Australia (Queensland, New South Wales)
urn:lsid:nmbe.ch:spidersp:002195	text	Costa Rica
urn:lsid:nmbe.ch:spidersp:032523	text	New Zealand
urn:lsid:nmbe.ch:spidersp:019673	text	Indonesia
urn:lsid:nmbe.ch:spidersp:004942	text	China
urn:lsid:nmbe.ch:spidersp:001613	text	Madagascar
urn:lsid:nmbe.ch:spidersp:053899	text	China
urn:lsid:nmbe.ch:spidersp:000901	text	Brazil
urn:lsid:nmbe.ch:spidersp:033298	text	Argentina
urn:lsid:nmbe.ch:spidersp:036560	text	Panama, Colombia, French Guiana, Brazil
urn:lsid:nmbe.ch:spidersp:046398	text	Australia (South Australia)
urn:lsid:nmbe.ch:spidersp:043460	text	China
urn:lsid:nmbe.ch:spidersp:015200	text	New Guinea
urn:lsid:nmbe.ch:spidersp:026999	text	India, China
urn:lsid:nmbe.ch:spidersp:039695	text	Israel
urn:lsid:nmbe.ch:spidersp:022173	text	USA
urn:lsid:nmbe.ch:spidersp:009223	text	Peru
urn:lsid:nmbe.ch:spidersp:038987	text	Portugal
urn:lsid:nmbe.ch:spidersp:022489	text	Mexico
urn:lsid:nmbe.ch:spidersp:047970	text	South Africa
urn:lsid:nmbe.ch:spidersp:046662	text	Comoros, Mayotte
urn:lsid:nmbe.ch:spidersp:010002	text	Russia (South Siberia), Mongolia, China
urn:lsid:nmbe.ch:spidersp:049597	text	Madagascar
urn:lsid:nmbe.ch:spidersp:033762	text	Canary Is.
urn:lsid:nmbe.ch:spidersp:018432	text	Australia (Western Australia)
urn:lsid:nmbe.ch:spidersp:028084	text	South Africa
urn:lsid:nmbe.ch:spidersp:032870	text	Mexico
urn:lsid:nmbe.ch:spidersp:004411	text	Spain
urn:lsid:nmbe.ch:spidersp:018598	text	USA
urn:lsid:nmbe.ch:spidersp:036130	text	Indonesia (Java)
urn:lsid:nmbe.ch:spidersp:006586	text	North, Central America, Caribbean
urn:lsid:nmbe.ch:spidersp:001243	text	South Africa
urn:lsid:nmbe.ch:spidersp:009673	text	Tanzania
urn:lsid:nmbe.ch:spidersp:022523	text	Malaysia
urn:lsid:nmbe.ch:spidersp:014942	text	Brazil, Argentina
urn:lsid:nmbe.ch:spidersp:015650	text	Madeira, Canary Is.
urn:lsid:nmbe.ch:spidersp:043030	text	Vietnam
urn:lsid:nmbe.ch:spidersp:012195	text	Russia (Central Asia, South Siberia), Kazakhstan
urn:lsid:nmbe.ch:spidersp:008961	text	Cuba
urn:lsid:nmbe.ch:spidersp:010452	text	France
urn:lsid:nmbe.ch:spidersp:046232	text	Indonesia (Sumatra, Borneo)
urn:lsid:nmbe.ch:spidersp:026833	text	China, Korea, Japan
urn:lsid:nmbe.ch:spidersp:017397	text	Kazakhstan, Russia (Central Asia to Far East), China, Korea, Japan
urn:lsid:nmbe.ch:spidersp:009389	text	Russia (Sakhalin)
urn:lsid:nmbe.ch:spidersp:027721	text	Portugal, Spain, Greece, Cyprus, Israel, India
urn:lsid:nmbe.ch:spidersp:003784	text	Mexico
urn:lsid:nmbe.ch:spidersp:004041	text	Chile
urn:lsid:nmbe.ch:spidersp:052621	text	Singapore
urn:lsid:nmbe.ch:spidersp:018062	text	Congo
urn:lsid:nmbe.ch:spidersp:002896	text	Myanmar, New Guinea, Australia (Queensland)
urn:lsid:nmbe.ch:spidersp:033332	text	Pakistan
urn:lsid:nmbe.ch:spidersp:025209	text	St. Vincent
urn:lsid:nmbe.ch:spidersp:047835	text	Congo, Rwanda
urn:lsid:nmbe.ch:spidersp:045808	text	Tanzania
urn:lsid:nmbe.ch:spidersp:016990	text	Cameroon
urn:lsid:nmbe.ch:spidersp:027234	text	Korea, Japan
urn:lsid:nmbe.ch:spidersp:017682	text	Greece, Bulgaria, Turkey, Caucasus (Russia, Georgia, Azerbaijan), Iraq, Iran, Afghanistan
urn:lsid:nmbe.ch:spidersp:010147	text	Bolivia
urn:lsid:nmbe.ch:spidersp:046727	text	Iran
urn:lsid:nmbe.ch:spidersp:018577	text	Afghanistan
urn:lsid:nmbe.ch:spidersp:033627	text	USA, Mexico
urn:lsid:nmbe.ch:spidersp:030908	text	Karakorum
urn:lsid:nmbe.ch:spidersp:004554	text	France, Italy
urn:lsid:nmbe.ch:spidersp:052334	text	Israel
urn:lsid:nmbe.ch:spidersp:006569	text	Romania
urn:lsid:nmbe.ch:spidersp:050309	text	China
urn:lsid:nmbe.ch:spidersp:032935	text	Timor
urn:lsid:nmbe.ch:spidersp:003291	text	Honduras
urn:lsid:nmbe.ch:spidersp:001756	text	USA
urn:lsid:nmbe.ch:spidersp:002879	text	Cuba
urn:lsid:nmbe.ch:spidersp:036425	text	Mexico to Costa Rica
urn:lsid:nmbe.ch:spidersp:034418	text	Australia (Western Australia, New South Wales, Victoria, Tasmania)
urn:lsid:nmbe.ch:spidersp:049128	text	Venezuela
urn:lsid:nmbe.ch:spidersp:000844	text	New Zealand
urn:lsid:nmbe.ch:spidersp:017378	text	Russia (Middle Siberia)
urn:lsid:nmbe.ch:spidersp:041518	text	Brazil
urn:lsid:nmbe.ch:spidersp:012480	text	Chile
urn:lsid:nmbe.ch:spidersp:015345	text	China, Korea, Taiwan, Japan. Introduced to Hawaii
urn:lsid:nmbe.ch:spidersp:043525	text	Brazil
urn:lsid:nmbe.ch:spidersp:009366	text	Azores
urn:lsid:nmbe.ch:spidersp:022036	text	New Zealand
urn:lsid:nmbe.ch:spidersp:046377	text	Australia (Northern Territory)
urn:lsid:nmbe.ch:spidersp:010517	text	Jamaica
urn:lsid:nmbe.ch:spidersp:025659	text	Ivory Coast, Gabon, Congo, Angola
urn:lsid:nmbe.ch:spidersp:038968	text	Australia (Queensland)
urn:lsid:nmbe.ch:spidersp:027664	text	USA
urn:lsid:nmbe.ch:spidersp:052764	text	Colombia
urn:lsid:nmbe.ch:spidersp:004104	text	Borneo
urn:lsid:nmbe.ch:spidersp:050759	text	Tajikistan
urn:lsid:nmbe.ch:spidersp:006139	text	Australia (Western Australia)
urn:lsid:nmbe.ch:spidersp:028591	text	South Africa
urn:lsid:nmbe.ch:spidersp:033277	text	Western, Central, Southern Europe
urn:lsid:nmbe.ch:spidersp:018127	text	Peru
urn:lsid:nmbe.ch:spidersp:049082	text	Myanmar
urn:lsid:nmbe.ch:spidersp:053876	text	China
urn:lsid:nmbe.ch:spidersp:036075	text	Costa Rica
urn:lsid:nmbe.ch:spidersp:049578	text	Australia (Western)
urn:lsid:nmbe.ch:spidersp:034048	text	Kenya, Tanzania
urn:lsid:nmbe.ch:spidersp:001306	text	South Africa
urn:lsid:nmbe.ch:spidersp:014807	text	Chile
urn:lsid:nmbe.ch:spidersp:022466	text	USA
urn:lsid:nmbe.ch:spidersp:009736	text	France
urn:lsid:nmbe.ch:spidersp:041148	text	Tanzania
urn:lsid:nmbe.ch:spidersp:017728	text	Myanmar
urn:lsid:nmbe.ch:spidersp:039380	text	Australia (New South Wales)
urn:lsid:nmbe.ch:spidersp:008824	text	Kenya, Tanzania
urn:lsid:nmbe.ch:spidersp:043175	text	Congo
urn:lsid:nmbe.ch:spidersp:015715	text	Panama to Argentina
urn:lsid:nmbe.ch:spidersp:012879	text	Alps (Switzerland, Italy), Balkans?, Turkey?
urn:lsid:nmbe.ch:spidersp:026425	text	Mozambique, South Africa
urn:lsid:nmbe.ch:spidersp:024418	text	Venezuela, Peru
urn:lsid:nmbe.ch:spidersp:010844	text	Nepal
urn:lsid:nmbe.ch:spidersp:047136	text	Madagascar
urn:lsid:nmbe.ch:spidersp:011756	text	New Zealand
urn:lsid:nmbe.ch:spidersp:016093	text	Madagascar
urn:lsid:nmbe.ch:spidersp:032036	text	Greece, Turkey
urn:lsid:nmbe.ch:spidersp:019366	text	Australia (Western Australia)
urn:lsid:nmbe.ch:spidersp:051518	text	China
urn:lsid:nmbe.ch:spidersp:007378	text	Mexico, Panama
urn:lsid:nmbe.ch:spidersp:002480	text	Ecuador
urn:lsid:nmbe.ch:spidersp:053525	text	Nigeria
urn:lsid:nmbe.ch:spidersp:005345	text	New Zealand
urn:lsid:nmbe.ch:spidersp:007682	text	China
urn:lsid:nmbe.ch:spidersp:000147	text	Australia (New South Wales)
urn:lsid:nmbe.ch:spidersp:048739	text	Panama
urn:lsid:nmbe.ch:spidersp:035209	text	USA, Canada
urn:lsid:nmbe.ch:spidersp:006990	text	Indonesia (Banda Is.)
urn:lsid:nmbe.ch:spidersp:037234	text	Borneo
urn:lsid:nmbe.ch:spidersp:020908	text	USA, Canada
urn:lsid:nmbe.ch:spidersp:042334	text	South Africa
urn:lsid:nmbe.ch:spidersp:014554	text	Peru, Brazil, Bolivia
urn:lsid:nmbe.ch:spidersp:040309	text	Thailand
urn:lsid:nmbe.ch:spidersp:016569	text	USA to Costa Rica
urn:lsid:nmbe.ch:spidersp:022935	text	USA
urn:lsid:nmbe.ch:spidersp:013291	text	Canada
urn:lsid:nmbe.ch:spidersp:023627	text	Colombia, Ecuador
urn:lsid:nmbe.ch:spidersp:008577	text	Mexico, Guatemala
urn:lsid:nmbe.ch:spidersp:011306	text	Kyrgyzstan
urn:lsid:nmbe.ch:spidersp:047566	text	Ecuador
urn:lsid:nmbe.ch:spidersp:026075	text	North Macedonia, Bulgaria, Greece
urn:lsid:nmbe.ch:spidersp:024048	text	Brazil
urn:lsid:nmbe.ch:spidersp:007728	text	New Zealand (mainland, Chatham Is.)
urn:lsid:nmbe.ch:spidersp:051148	text	Papua New Guinea
urn:lsid:nmbe.ch:spidersp:029380	text	Mozambique
urn:lsid:nmbe.ch:spidersp:018824	text	Greece (incl. Crete)
urn:lsid:nmbe.ch:spidersp:049981	text	China
urn:lsid:nmbe.ch:spidersp:005715	text	Pakistan
urn:lsid:nmbe.ch:spidersp:053175	text	Australia (New South Wales)
urn:lsid:nmbe.ch:spidersp:004807	text	South Africa
urn:lsid:nmbe.ch:spidersp:048693	text	Syria
urn:lsid:nmbe.ch:spidersp:019736	text	Marquesas Is.
urn:lsid:nmbe.ch:spidersp:032466	text	Caroline Is.
urn:lsid:nmbe.ch:spidersp:035659	text	Myanmar
urn:lsid:nmbe.ch:spidersp:048369	text	Brazil
urn:lsid:nmbe.ch:spidersp:028968	text	China
urn:lsid:nmbe.ch:spidersp:037664	text	Japan
urn:lsid:nmbe.ch:spidersp:036976	text	Australia (Western Australia, Northern Territory)
urn:lsid:nmbe.ch:spidersp:000517	text	Venezuela
urn:lsid:nmbe.ch:spidersp:008127	text	Tanzania
urn:lsid:nmbe.ch:spidersp:023277	text	Indonesia (Sulawesi)
urn:lsid:nmbe.ch:spidersp:043876	text	Indonesia (Sumatra)
urn:lsid:nmbe.ch:spidersp:014104	text	New Guinea
urn:lsid:nmbe.ch:spidersp:042764	text	US Virgin Is.
urn:lsid:nmbe.ch:spidersp:016139	text	Guyana
urn:lsid:nmbe.ch:spidersp:040759	text	Bulgaria, Turkey
urn:lsid:nmbe.ch:spidersp:038591	text	China
urn:lsid:nmbe.ch:spidersp:001812	text	Ecuador
urn:lsid:nmbe.ch:spidersp:037473	text	Brazil
urn:lsid:nmbe.ch:spidersp:053698	text	Bulgaria
urn:lsid:nmbe.ch:spidersp:000700	text	Madagascar
urn:lsid:nmbe.ch:spidersp:026798	text	Madagascar
urn:lsid:nmbe.ch:spidersp:008330	text	Indonesia (Sumatra)
urn:lsid:nmbe.ch:spidersp:039894	text	Argentina
urn:lsid:nmbe.ch:spidersp:023060	text	Chile, Argentina
urn:lsid:nmbe.ch:spidersp:042573	text	Ivory Coast, Togo
urn:lsid:nmbe.ch:spidersp:014313	text	New Guinea
urn:lsid:nmbe.ch:spidersp:038786	text	China
urn:lsid:nmbe.ch:spidersp:042089	text	Indonesia
urn:lsid:nmbe.ch:spidersp:047771	text	Ecuador
urn:lsid:nmbe.ch:spidersp:011111	text	Ethiopia
urn:lsid:nmbe.ch:spidersp:026262	text	Australia (Queensland)
urn:lsid:nmbe.ch:spidersp:046863	text	Kenya
urn:lsid:nmbe.ch:spidersp:033963	text	Australia (Queensland)
urn:lsid:nmbe.ch:spidersp:053362	text	Sri Lanka
urn:lsid:nmbe.ch:spidersp:005502	text	Thailand, Malaysia, Singapore
urn:lsid:nmbe.ch:spidersp:048484	text	Australia (Western Australia)
urn:lsid:nmbe.ch:spidersp:037189	text	Malawi
urn:lsid:nmbe.ch:spidersp:032671	text	Russia (South Siberia)
urn:lsid:nmbe.ch:spidersp:007495	text	Brazil
urn:lsid:nmbe.ch:spidersp:000350	text	Philippines
urn:lsid:nmbe.ch:spidersp:037023	text	Congo
urn:lsid:nmbe.ch:spidersp:014743	text	China (Yarkand)
urn:lsid:nmbe.ch:spidersp:042123	text	Malaysia, Singapore, Indonesia (Sumatra)
urn:lsid:nmbe.ch:spidersp:009872	text	USA
urn:lsid:nmbe.ch:spidersp:013086	text	Romania
urn:lsid:nmbe.ch:spidersp:008760	text	Vanuatu
urn:lsid:nmbe.ch:spidersp:015851	text	Australia
urn:lsid:nmbe.ch:spidersp:026632	text	Chile
urn:lsid:nmbe.ch:spidersp:011541	text	Portugal, France
urn:lsid:nmbe.ch:spidersp:047321	text	Costa Rica
urn:lsid:nmbe.ch:spidersp:027920	text	USA, Canada
urn:lsid:nmbe.ch:spidersp:016284	text	South Africa
urn:lsid:nmbe.ch:spidersp:052820	text	Taiwan
urn:lsid:nmbe.ch:spidersp:003985	text	Mexico
urn:lsid:nmbe.ch:spidersp:032221	text	Libya
urn:lsid:nmbe.ch:spidersp:019171	text	USA
urn:lsid:nmbe.ch:spidersp:002697	text	Brazil
urn:lsid:nmbe.ch:spidersp:005152	text	Mexico
urn:lsid:nmbe.ch:spidersp:053732	text	Canary Is.
urn:lsid:nmbe.ch:spidersp:036262	text	Kazakhstan, Kyrgyzstan
urn:lsid:nmbe.ch:spidersp:052089	text	Korea
urn:lsid:nmbe.ch:spidersp:001111	text	India
urn:lsid:nmbe.ch:spidersp:027189	text	Morocco, Portugal, Spain, France, Italy, Croatia
urn:lsid:nmbe.ch:spidersp:022671	text	Peru
urn:lsid:nmbe.ch:spidersp:009521	text	Angola, Nigeria
urn:lsid:nmbe.ch:spidersp:039197	text	Mexico
urn:lsid:nmbe.ch:spidersp:023963	text	USA, Cuba
urn:lsid:nmbe.ch:spidersp:015502	text	Australia, New Zealand
urn:lsid:nmbe.ch:spidersp:043362	text	Costa Rica
urn:lsid:nmbe.ch:spidersp:043698	text	China
urn:lsid:nmbe.ch:spidersp:010700	text	China
urn:lsid:nmbe.ch:spidersp:046160	text	Cameroon
urn:lsid:nmbe.ch:spidersp:011812	text	Kenya, Uganda
urn:lsid:nmbe.ch:spidersp:004313	text	Madagascar
urn:lsid:nmbe.ch:spidersp:052573	text	Papua New Guinea
urn:lsid:nmbe.ch:spidersp:028786	text	Australia (New South Wales)
urn:lsid:nmbe.ch:spidersp:036798	text	Bhutan
urn:lsid:nmbe.ch:spidersp:033060	text	New Guinea, Australia (Queensland)
urn:lsid:nmbe.ch:spidersp:018330	text	Australia (Capital Territory, New South Wales, Victoria)
urn:lsid:nmbe.ch:spidersp:029894	text	USA, Canada
urn:lsid:nmbe.ch:spidersp:049295	text	China
urn:lsid:nmbe.ch:spidersp:001541	text	Congo
urn:lsid:nmbe.ch:spidersp:037920	text	Australia (Western Australia)
urn:lsid:nmbe.ch:spidersp:006284	text	St. Vincent
urn:lsid:nmbe.ch:spidersp:036632	text	Zimbabwe, South Africa
urn:lsid:nmbe.ch:spidersp:012697	text	Peru
urn:lsid:nmbe.ch:spidersp:043732	text	South Africa
urn:lsid:nmbe.ch:spidersp:015152	text	Australia (New South Wales)
urn:lsid:nmbe.ch:spidersp:042820	text	Nepal
urn:lsid:nmbe.ch:spidersp:009171	text	Australia (Queensland)
urn:lsid:nmbe.ch:spidersp:013985	text	West, Central Africa
urn:lsid:nmbe.ch:spidersp:022221	text	USA
urn:lsid:nmbe.ch:spidersp:027023	text	India
urn:lsid:nmbe.ch:spidersp:017495	text	Russia (Europe, Siberia, Far East), Mongolia, China
urn:lsid:nmbe.ch:spidersp:046530	text	Ecuador
urn:lsid:nmbe.ch:spidersp:010350	text	Canada
urn:lsid:nmbe.ch:spidersp:018760	text	Philippines
urn:lsid:nmbe.ch:spidersp:033430	text	Caroline Is.
urn:lsid:nmbe.ch:spidersp:052123	text	China
urn:lsid:nmbe.ch:spidersp:004743	text	Greece
urn:lsid:nmbe.ch:spidersp:003086	text	Japan
urn:lsid:nmbe.ch:spidersp:019872	text	Brazil
urn:lsid:nmbe.ch:spidersp:046025	text	Namibia
urn:lsid:nmbe.ch:spidersp:010645	text	Europe, North Africa, Turkey, Caucasus, Russia (Europe to Far East), Kazakhstan, Iran, Central Asia, China, Korea, Japan
urn:lsid:nmbe.ch:spidersp:044018	text	Australia (Queensland)
urn:lsid:nmbe.ch:spidersp:012678	text	USA, Canada
urn:lsid:nmbe.ch:spidersp:039528	text	Brazil
urn:lsid:nmbe.ch:spidersp:017180	text	China, Thailand, Laos, Vietnam
urn:lsid:nmbe.ch:spidersp:027536	text	Caucasus, Kazakhstan, Iran, Turkmenistan
urn:lsid:nmbe.ch:spidersp:011957	text	Chile, Argentina
urn:lsid:nmbe.ch:spidersp:003593	text	Honduras
urn:lsid:nmbe.ch:spidersp:052436	text	Venezuela
urn:lsid:nmbe.ch:spidersp:004256	text	South Africa
urn:lsid:nmbe.ch:spidersp:031118	text	Indonesia (Aru Is.)
urn:lsid:nmbe.ch:spidersp:018275	text	Chile
urn:lsid:nmbe.ch:spidersp:033125	text	Peru
urn:lsid:nmbe.ch:spidersp:007883	text	Madagascar
