col:taxonID	col:gazetteer	col:area
urn:lsid:nmbe.ch:spidersp:041714	text	China
urn:lsid:nmbe.ch:spidersp:017174	text	Southern Europe, Ukraine, Turkey
urn:lsid:nmbe.ch:spidersp:043729	text	Southern Africa
urn:lsid:nmbe.ch:spidersp:015149	text	China
urn:lsid:nmbe.ch:spidersp:029925	text	Ethiopia
urn:lsid:nmbe.ch:spidersp:018281	text	Brazil
urn:lsid:nmbe.ch:spidersp:036629	text	Egypt
urn:lsid:nmbe.ch:spidersp:034614	text	USA, Mexico
urn:lsid:nmbe.ch:spidersp:049324	text	Brazil
urn:lsid:nmbe.ch:spidersp:035906	text	China
urn:lsid:nmbe.ch:spidersp:003567	text	Argentina
urn:lsid:nmbe.ch:spidersp:028637	text	Ecuador
urn:lsid:nmbe.ch:spidersp:052138	text	China
urn:lsid:nmbe.ch:spidersp:004758	text	Georgia
urn:lsid:nmbe.ch:spidersp:050105	text	Brazil, Argentina
urn:lsid:nmbe.ch:spidersp:006765	text	Chile
urn:lsid:nmbe.ch:spidersp:019869	text	Brazil, Paraguay
urn:lsid:nmbe.ch:spidersp:007877	text	India, China
urn:lsid:nmbe.ch:spidersp:031416	text	Congo
urn:lsid:nmbe.ch:spidersp:044516	text	Madagascar
urn:lsid:nmbe.ch:spidersp:012376	text	Russia (Caucasus)
urn:lsid:nmbe.ch:spidersp:039026	text	Indonesia (Sumba)
urn:lsid:nmbe.ch:spidersp:025005	text	Kenya
urn:lsid:nmbe.ch:spidersp:009490	text	USA
urn:lsid:nmbe.ch:spidersp:027038	text	Mexico
urn:lsid:nmbe.ch:spidersp:031103	text	Australia
urn:lsid:nmbe.ch:spidersp:050410	text	Australia (Western Australia)
urn:lsid:nmbe.ch:spidersp:006270	text	Brazil
urn:lsid:nmbe.ch:spidersp:003588	text	Mexico
urn:lsid:nmbe.ch:spidersp:009185	text	New Zealand
urn:lsid:nmbe.ch:spidersp:013971	text	Indonesia, New Guinea, Australia, New Caledonia, Vanuatu, Solomon Is., New Ireland
urn:lsid:nmbe.ch:spidersp:025510	text	Mexico
urn:lsid:nmbe.ch:spidersp:044003	text	Brazil
urn:lsid:nmbe.ch:spidersp:012663	text	USA, Canada, Russia (Kurile Is.)
urn:lsid:nmbe.ch:spidersp:039533	text	Yemen, Oman, Iran
urn:lsid:nmbe.ch:spidersp:021800	text	Australia
urn:lsid:nmbe.ch:spidersp:041201	text	China
urn:lsid:nmbe.ch:spidersp:017461	text	Tajikistan
urn:lsid:nmbe.ch:spidersp:012399	text	Russia (Middle Siberia to Far East), USA (Alaska), Canada
urn:lsid:nmbe.ch:spidersp:020712	text	Guinea
urn:lsid:nmbe.ch:spidersp:003072	text	USA
urn:lsid:nmbe.ch:spidersp:019886	text	Mozambique, South Africa
urn:lsid:nmbe.ch:spidersp:028322	text	Mediterranean, Canary Is. Introduced to USA, Mexico
urn:lsid:nmbe.ch:spidersp:048923	text	Turkey
urn:lsid:nmbe.ch:spidersp:034301	text	Mexico to Honduras
urn:lsid:nmbe.ch:spidersp:049631	text	Brazil
urn:lsid:nmbe.ch:spidersp:018794	text	Congo
urn:lsid:nmbe.ch:spidersp:007898	text	Venezuela
